노선,역A,역B,인원
수인분당선,가천대,복정,172163.6
5호선 본선,영등포구청,영등포시장,170734.6
1호선,동대문,동묘앞,170357.3
수인분당선,서울숲,압구정로데오,170329.2
3호선,불광,연신내,168270.1
수인분당선,가천대,태평,167623.2
9호선,국회의사당,당산,167347.3
수인분당선,개포동,구룡,167163.3
9호선,신목동,염창,166969.5
1호선,동묘앞,신설동,165661.3
4호선,미아,미아사거리,163692.7
3호선,도곡,매봉,163259.7
1호선,용산,이촌,162003.3
신분당선,양재시민의숲,청계산입구,160642.3
수인분당선,모란,태평,159329.7
1호선,종로3가,종로5가,159215.4
1호선,동대문,종로5가,158422.4
수인분당선,개포동,대모산입구,158336.9
신분당선,강남,신논현,157050.9
수인분당선,모란,야탑,156413.3
6호선,동묘앞,신당,155698.2
수인분당선,야탑,이매,153839.9
9호선,등촌,염창,153553.6
5호선 본선,강동,길동,153385.1
3호선,구파발,연신내,153082.0
4호선,미아,수유,152984.1
수인분당선,복정,수서,152834.6
1호선,역곡,온수,152537.6
수인분당선,대모산입구,수서,152305.7
6호선,동묘앞,창신,151143.2
1호선,소사,역곡,150378.3
1호선,왕십리,청량리,149412.7
5호선 본선,까치산,화곡,149082.2
6호선,망원,합정,148608.5
1호선,신설동,제기동,148337.4
1호선,제기동,청량리,147632.9
1호선,노량진,대방,147554.4
1호선,대방,신길,146050.2
4호선,신용산,이촌,145301.8
4호선,수유,쌍문,141028.8
1호선,청량리,회기,140664.7
수인분당선,서현,이매,139597.9
7호선,상봉,중화,139559.8
6호선,보문,창신,138174.8
9호선,등촌,증미,137030.3
신분당선,청계산입구,판교,135494.7
1호선,노량진,용산,133730.4
7호선,먹골,중화,133468.4
3호선,대치,도곡,133147.8
3호선,구파발,지축,130369.1
7호선,먹골,태릉입구,130134.1
5호선 본선,굽은다리,길동,129804.1
수인분당선,서현,수내,128350.4
4호선,금정,범계,128075.6
6호선,보문,안암,127611.4
5호선 본선,우장산,화곡,127491.8
1호선,외대앞,회기,127415.1
6호선,마포구청,망원,125126.4
4호선,동작,신용산,124566.0
9호선,가양,증미,124271.5
7호선,공릉,태릉입구,122879.0
4호선,쌍문,창동,122406.6
3호선,삼송,지축,119505.8
6호선,신당,청구,119404.2
인천국제공항선,김포공항,마곡나루,118256.3
인천국제공항선,디지털미디어시티,마곡나루,117661.4
8호선,석촌,송파,117582.6
6호선,고려대,안암,117580.4
8호선,석촌,잠실,117121.7
6호선,공덕,대흥,116876.8
3호선,대치,학여울,114898.3
6호선,마포구청,월드컵경기장,114480.0
수인분당선,수내,정자,113851.8
