역명,x,y,conf
신천,2369.5,8227.5,96.8
신촌,3834.5,4418.2,94.7
신포,1025.5,8389.5,97.0
신풍,3957.0,7194.0,96.7
신현,2536.2,8458.0,97.0
신흥,8731.0,8535.5,96.3
아라,1076.0,4110.0,97.0
아신,10227.0,3391.8,97.0
아차산,8438.0,4355.0,97.0
아현,3921.5,4030.2,96.2
안국,4970.8,2863.0,96.8
안산,2777.8,9647.8,97.0
안암,6522.0,2823.5,97.0
암사,8534.0,5121.5,96.9
압구정,6083.5,5891.0,97.0
야당,1889.5,1279.0,97.0
야탑,8446.8,8606.0,96.9
양수,10228.5,3029.0,97.0
양원,8616.0,3041.0,97.0
양재,6391.0,7877.5,97.0
양정,9259.0,3041.5,96.9
양촌,391.0,2645.5,77.7
양평,3055.8,6007.2,97.0
여의나루,4250.8,5984.2,97.0
여의도,4238.0,6155.8,96.8
여주,10330.0,9822.5,96.8
역삼,6566.5,7501.5,97.0
연수,1531.5,8599.2,97.0
연신내,3611.5,2003.0,97.0
연천,10001.0,380.5,96.3
영등포,3804.5,6625.5,96.9
영종,312.5,7770.0,94.1
영통,6370.0,9640.5,97.0
오금,8422.5,7088.5,97.0
오류동,2807.0,6911.5,96.7
오리,8144.5,9429.5,96.9
오산,4459.0,10212.8,96.6
오이도,1894.5,9647.2,97.0
옥수,6071.0,5389.0,96.9
온수,2656.0,6726.5,96.9
왕십리,7104.8,4130.5,97.0
용마산,8141.0,3694.0,97.0
용산,4890.0,5643.0,97.0
운정,1695.5,1278.5,96.3
운천,552.0,1277.5,96.6
원당,2639.0,2255.5,97.0
원시,3291.2,9990.2,97.0
원종,1874.0,5689.5,81.7
원흥,2829.0,2255.0,97.0
월계,7416.5,2046.0,96.9
월곡,6961.5,2515.0,96.9
월롱,1126.0,1278.5,92.0
의왕,4583.5,9106.0,97.0
의정부,8420.5,924.0,97.0
이대,3705.0,4258.0,97.0
이매,8452.5,8818.5,97.0
이수,5601.5,7207.0,96.8
이천,9828.0,9327.0,91.1
이촌,5297.0,5641.0,42.7
이태원,5572.5,5216.5,97.0
인덕원,4644.5,8687.5,97.0
인천,1035.5,8215.5,96.9
인하대,1048.5,8656.2,97.0
일산,2268.2,1393.5,97.0
일원,7528.5,8078.5,97.0
임진강,366.0,1279.0,97.0
임학,1080.8,4916.2,97.0
자양,7361.8,5368.2,96.8
작전,1077.0,5549.5,97.0
잠원,6059.5,6306.8,96.8
장지,8311.0,7757.0,96.9
전곡,9833.0,381.5,96.9
정릉,6217.0,2428.0,96.9
정발산,1485.0,2256.0,96.9
정왕,2203.0,9648.0,97.0
정자,8156.0,9095.5,96.5
제기동,6867.5,3187.5,96.8
제물포,1052.5,7825.0,96.7
종각,4461.8,3300.0,96.8
주안,1038.0,7333.0,97.0
죽전,7956.0,9640.5,96.9
중동,1782.5,6911.5,96.1
중랑,7727.2,3050.0,94.8
중앙,9020.5,10077.8,92.2
중화,8116.2,2738.5,94.9
증산,3105.5,3312.5,96.7
지축,3211.5,2255.0,96.6
지평,10225.5,3997.5,96.7
지행,8788.0,381.0,96.2
진접,9258.5,1816.5,96.7
창동,7216.0,1623.5,85.4
창신,6328.0,3011.2,94.7
천마산,10072.8,2701.0,96.4
천왕,2641.5,7029.0,96.7
천호,8409.5,5262.5,92.5
철산,2989.5,7196.5,95.3
청담,7083.5,5656.5,96.2
청량리,7358.5,3267.5,88.1
청산,9660.5,381.0,94.8
청평,10223.8,2176.2,96.0
초월,9332.5,8825.0,55.0
초지,3112.0,9646.5,77.1
충정로,3961.5,3669.8,35.8
탄현,2078.0,1277.5,97.0
태평,8443.5,8307.5,96.2
퇴계원,9302.0,2701.2,96.9
파주,935.0,1278.5,97.0
팔당,9796.0,3041.5,97.0
평택,3500.0,10379.5,97.0
풍산,2267.0,1589.0,94.5
학동,6564.0,6177.5,97.0
학여울,7129.5,8079.0,97.0
한남,5828.8,5616.0,96.8
한양대,7222.5,4332.0,95.6
한티,6783.0,7605.0,97.0
합정,3316.5,5013.5,97.0
행신,2256.2,2737.8,97.0
홍대입구,3526.0,4574.0,44.3
화곡,2267.0,5241.0,96.9
화서,4850.8,9376.8,96.9
화정,2445.0,2256.0,96.9
회기,7423.0,3074.5,96.9
효자,9154.0,922.5,96.9
흑석,5062.5,5991.0,96.8
흥선,8041.0,766.0,96.6
